prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,1420668.12,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,39421.45,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,50621.2,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,353278.58,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,832668.0,,,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,251526.28,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,-1479.07,,,Items Not Listed Above,Interest earned on CARES Act funding
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,2670000.0,,,Facilitating Distance Learning,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KODIAK ISLAND BOROUGH,710 Mill Bay Rd,,,Kodiak,AK,99615-6340,AK-KODIAK ISLAND,AK00,20-CRF-112,GRANT,Community assistance grant.,5792500.9,175796.34,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KOREAN OPEN DOOR PRESBYTERIAN CHURCH,8220 Briarwood St,,,Anchorage,AK,99518-3328,AK-ANCHORAGE,AK00,,DIRECT,,166802.0,0.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KOREAN OPEN DOOR PRESBYTERIAN CHURCH,8220 Briarwood St,,,Anchorage,AK,99518-3328,AK-ANCHORAGE,AK00,,DIRECT,,166802.0,50002.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KOREAN OPEN DOOR PRESBYTERIAN CHURCH,8220 Briarwood St,,,Anchorage,AK,99518-3328,AK-ANCHORAGE,AK00,,DIRECT,,166802.0,116800.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTLIK, CITY OF",PO BOX 20268,,,Kotlik,AK,99620-0268,AK-KUSILVAK,AK00,20-CRF-115,GRANT,Community assistance grant.,403541.46,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTLIK, CITY OF",PO BOX 20268,,,Kotlik,AK,99620-0268,AK-KUSILVAK,AK00,20-CRF-115,GRANT,Community assistance grant.,403541.46,36957.02,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTLIK, CITY OF",PO BOX 20268,,,Kotlik,AK,99620-0268,AK-KUSILVAK,AK00,20-CRF-115,GRANT,Community assistance grant.,403541.46,241913.7,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTLIK, CITY OF",PO BOX 20268,,,Kotlik,AK,99620-0268,AK-KUSILVAK,AK00,20-CRF-115,GRANT,Community assistance grant.,403541.46,57034.45,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTLIK, CITY OF",PO BOX 20268,,,Kotlik,AK,99620-0268,AK-KUSILVAK,AK00,20-CRF-115,GRANT,Community assistance grant.,403541.46,1500.0,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTLIK, CITY OF",PO BOX 20268,,,Kotlik,AK,99620-0268,AK-KUSILVAK,AK00,20-CRF-115,GRANT,Community assistance grant.,403541.46,66136.29,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,36167.23,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,81608.23,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,2693656.11,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,249.0,,,Facilitating Distance Learning,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,265210.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,22946.87,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,50212.18,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOTZEBUE, CITY OF",PO BOX 46,,,Kotzebue,AK,99752-0046,AK-NORTHWEST ARCTIC,AK00,20-CRF-116,GRANT,Community assistance grant.,3179600.79,29551.17,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,74011.19,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,114619.96,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,21670.05,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,2097.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,1000.0,,,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,1176.94,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KOYUK, CITY OF",200 Birch St,,,Koyuk,AK,99753-9800,AK-NOME,AK00,20-CRF-117,GRANT,Community assistance grant.,219257.92,4682.78,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KRAV MAGA ISRAELI LLC,PO BOX 242801,,,Anchorage,AK,99524-2801,AK-ANCHORAGE,AK00,203475,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",50295.56,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KRAV MAGA ISRAELI LLC,PO BOX 242801,,,Anchorage,AK,99524-2801,AK-ANCHORAGE,AK00,203475,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",50295.56,50295.56,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KRUZOF FISHERIES LLC,PO BOX 3302,,,Seward,AK,99664-3302,AK-KENAI PENINSULA,AK00,201636,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KUEHG CORP,650 NE Holladay St Ste 1400,,,Portland,OR,97232-2096,OR-MULTNOMAH,OR03,,DIRECT,,303782.0,0.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KUEHG CORP,650 NE Holladay St Ste 1400,,,Portland,OR,97232-2096,OR-MULTNOMAH,OR03,,DIRECT,,303782.0,98182.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KUEHG CORP,650 NE Holladay St Ste 1400,,,Portland,OR,97232-2096,OR-MULTNOMAH,OR03,,DIRECT,,303782.0,205600.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KUEHG CORP,4145 Tudor Centre Dr,,,Anchorage,AK,99508-5902,AK-ANCHORAGE,AK00,,DIRECT,,93626.00003,93626.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KUEHG CORP,4145 Tudor Centre Dr,,,Anchorage,AK,99508-5902,AK-ANCHORAGE,AK00,,DIRECT,,93626.00003,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KUPREANOF, CITY OF",PO BOX 50,,,Petersburg,AK,99833-0050,AK-PETERSBURG,AK00,20-CRF-118,GRANT,Community assistance grant.,83815.28,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KUPREANOF, CITY OF",PO BOX 50,,,Petersburg,AK,99833-0050,AK-PETERSBURG,AK00,20-CRF-118,GRANT,Community assistance grant.,83815.28,82465.0,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KUPREANOF, CITY OF",PO BOX 50,,,Petersburg,AK,99833-0050,AK-PETERSBURG,AK00,20-CRF-118,GRANT,Community assistance grant.,83815.28,750.0,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KUPREANOF, CITY OF",PO BOX 50,,,Petersburg,AK,99833-0050,AK-PETERSBURG,AK00,20-CRF-118,GRANT,Community assistance grant.,83815.28,250.0,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"KUPREANOF, CITY OF",PO BOX 50,,,Petersburg,AK,99833-0050,AK-PETERSBURG,AK00,20-CRF-118,GRANT,Community assistance grant.,83815.28,350.28,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KUZMIN FISHING,9417 W Carolines Cir,,,Wasilla,AK,99623-5007,AK-MATANUSKA-SUSITNA,AK00,201154,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KYLE WISNER HARVEST,PO BOX 314,,,Anchor Point,AK,99556-0314,AK-KENAI PENINSULA,AK00,202019,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",72239.8,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,KYLE WISNER HARVEST,PO BOX 314,,,Anchor Point,AK,99556-0314,AK-KENAI PENINSULA,AK00,202019,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",72239.8,72239.8,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LADY KATHRYN,PO BOX 8918,,,Kodiak,AK,99615-8918,AK-KODIAK ISLAND,AK00,203832,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",91735.08,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LADY KATHRYN,PO BOX 8918,,,Kodiak,AK,99615-8918,AK-KODIAK ISLAND,AK00,203832,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",91735.08,91735.08,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,32393.18,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,194650.2,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,1063533.99,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,21884.2,,,Items Not Listed Above,Consultants
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,27420.9,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,0.0,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,269000.0,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,101702.72,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,392288.35,,,Facilitating Distance Learning,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,1613.86,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAKE AND PENINSULA BOROUGH,PO BOX 495,,,King Salmon,AK,99613-0495,AK-BRISTOL BAY,AK00,20-CRF-121,GRANT,Community assistance grants,2247765.13,143277.73,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAND'S END ACQUISITION CORP.,4786 Homer Spit Rd,,,Homer,AK,99603-8001,AK-KENAI PENINSULA,AK00,201978,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAND'S END ACQUISITION CORP.,4786 Homer Spit Rd,,,Homer,AK,99603-8001,AK-KENAI PENINSULA,AK00,201978,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LANDON CARPENTER,1107 Diamond St,,,San Francisco,CA,94114-3630,CA-SAN FRANCISCO,CA12,202278,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY AIR, LLC",PO BOX 92,,,Larsen Bay,AK,99624-0092,AK-KODIAK ISLAND,AK00,203537,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY AIR, LLC",PO BOX 92,,,Larsen Bay,AK,99624-0092,AK-KODIAK ISLAND,AK00,203537,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,29411.88,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,2163.27,,,Improve Telework Capabilities of Public Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,20137.23,,,Items Not Listed Above,Water and sewer parts and freight
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,2742.63,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,14413.13,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,1945.69,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LARSEN BAY, CITY OF",PO BOX 8,,,Larsen Bay,AK,99624-0008,AK-KODIAK ISLAND,AK00,20-CRF-122,GRANT,Community assistance grant.,140435.85,2210.5,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LARSEN FISHERY,8079 Skeena Way,,,Blaine,WA,98230-9366,WA-WHATCOM,WA01,200411,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",56619.46,56619.46,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAST CHANCE,9768 W Trimotor St,,,Wasilla,AK,99623-5056,AK-MATANUSKA-SUSITNA,AK00,200663,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",69762.25,69762.25,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAST FRONTIER CONTRACTING L.L.C,5200 E Sams Cir,,,Wasilla,AK,99654-4358,AK-MATANUSKA-SUSITNA,AK00,200381,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
