State,Prime recipient,Prime recipient amount,Number of sub-recipients,Sub-award amount
AK,CHIGNIK BAY TRIBAL COUNCIL,548254.29,1,548254.29
AK,EKLUTNA NATIVE VILLAGE,535722.12,3,535722.120053499
AK,NATIVE VILLAGE OF OUZINKIE,532438.02,3,532438.0200258039
AK,NATIVE VILLAGE OF KOBUK,524445.87,2,0.0
AK,NATIVE VILLAGE OF WALES,518023.3,1,416001.79000000004
AK,NATIVE VILLAGE OF PORT HEIDEN,515781.83,2,515781.83
AK,NATIVE VILLAGE OF TETLIN,513365.75,2,513365.75
AK,NATIVE VILLAGE OF DIOMEDE,498211.97,1,498211.97
AK,GULKANA VILLAGE COUNCIL,492983.89,1,492983.89
AK,SKAGWAY VILLAGE,480737.1,2,480737.10004421195
AK,NATIVE VILLAGE OF PORT LIONS,473339.9,1,473339.9
AK,NONDALTON VILLAGE,470902.22,1,470902.22
AK,"CHUATHBALUK, NATIVE VILLAGE OF",467735.56,2,343228.590027953
AK,NATIVE VILLAGE OF PITKA'S POINT,465223.17,3,465223.1699999999
AK,EGEGIK VILLAGE,463754.16,1,35000.000056788
VA,PAMUNKEY INDIAN TRIBE,463652.05,0,
AK,NATIVE VILLAGE OF CHITINA,454550.98,4,448704.760085459
AK,NATIVE VILLAGE OF EKWOK,454477.37,1,454477.37
AK,ORGANIZED VILLAGE OF KASAAN,452464.39,1,452464.39
AK,NATIVE VILLAGE OF TAZLINA,452240.45,1,375000.000013133
AK,INUPIAT COMMUNITY OF THE ARCTIC SLOPE,451520.03,1,451520.03
AK,CHILKAT INDIAN VILLAGE,451306.04,1,451306.04
CA,"GUIDIVILLE BAND OF POMO INDIANS, THE",449611.59,1,449611.58999999997
AK,NATIVE VILLAGE OF MARY'S IGLOO,437211.11,4,437143.630065938
AK,NATIVE VILLAGE OF PERRYVILLE,428321.21,0,
AK,NATIVE VILLAGE OF CHENEGA,410372.54,2,405267.680027512
AK,NATIVE VILLAGE OF COUNCIL,397743.34,1,397743.33999999997
AK,CROOKED CREEK TRADITIONAL COUNCIL,393613.06,1,393613.06
AK,KANATAK TRIBAL COUNCIL,390987.25,0,
AK,BEAVER VILLAGE,390639.38,0,
AK,"SELDOVIA NATIVE ASSOCIATION, INC.",385243.42,0,
AK,TWIN HILLS VILLAGE COUNCIL,384305.1,1,384305.1
AK,"OHOGAMIUT, VILLAGE OF",382948.73,1,0.0
AK,IGIUGIG VILLAGE,379867.25,1,379867.25
CA,MANZANITA BAND OF MISSION INDIANS,378554.36,1,204500.000018537
AK,KOYUKUK NATIVE VILLAGE,373989.87,2,373989.870020764
AK,UMKUMIUT NATIVE VILLAGE,371962.62,0,
AK,KUUKPIK CORPORATION,369333.79,0,
AK,NATIVE VILLAGE OF DEERING,364624.62,0,
AK,"CHIGNIK LAGOON, NATIVE VILLAGE OF",363576.77,1,363576.77
AK,OUNALASHKA CORPORATION,361500.18,1,361500.18
AK,RAMPART VILLAGE,360860.32,2,360860.32
AK,MENTASTA TRADITIONAL COUNCIL,356354.13,1,147038.490035136
AK,YUPIIT OF ANDREAFSKI,352518.23,2,352518.23
AK,CIRCLE NATIVE COMMUNITY,324289.56,2,324289.56
CA,BRIDGEPORT INDIAN COLONY,322169.17,1,322169.17
AK,VILLAGE OF BILL MOORE'S SLOUGH,321634.91,1,160455.72
AK,"EKLUTNA, INC.",321500.06,1,321500.06
CA,LOS COYOTES BAND OF CAHUILLA AND CUPENO INDIANS,319935.0,0,
AK,NIKOLAI VILLAGE,319313.57,1,319313.57
AK,NATIVE VILLAGE OF UNGA,317464.05,0,
AK,CHEVAK COMPANY,309481.83,0,
AK,KING SALMON TRIBE,309415.64,0,
AK,SHAGELUK I.R.A TRIBAL COUNCIL,308193.61,1,246774.17
AK,CHEFARNMUTE INC,302090.4,1,302090.4
AK,VILLAGE OF SLEETMUTE,300189.88,0,
AK,CHIGNIK LAKE VILLAGE,299133.37,0,
AK,CHALKYITSIK VILLAGE,285743.91,2,285743.91000000003
AK,UGASHIK VILLAGE,283778.38,1,231729.0
AK,"SOLOMON, VILLAGE OF",279451.46,0,
AK,"SHEE ATIKA, INCORPORATED",277037.65,2,277037.650056771
AK,NATIVE VILLAGE OF TATITLEK,275806.87,1,274884.85000000003
AK,"NINILCHIK NATIVES ASSOCIATION, INC.",272484.54,2,272484.54
AK,ANVIK VILLAGE,271878.54,0,
AK,CHULOONAWICK NATIVE VILLAGE,271477.7,1,163186.7
AK,KAKE TRIBAL CORPORATION,268682.26,1,268682.26
AK,"ILIAMNA, VILLAGE OF",266408.97,3,266408.97004017903
AK,KUGKAKTLIK LIMITED,262970.63,0,
AK,OSCARVILLE TRADITIONAL COUNCIL,262027.1,1,180232.74
AK,NATIVE VILLAGE OF SOUTH NAKNEK,260256.58,1,0.0
AK,"LEISNOI, INCORPORATED",255690.58,1,255690.580056797
AK,PEDRO BAY VILLAGE,254594.53,0,
AK,ALAKANUK NATIVE CORPORATION SLT,253585.66,0,
AK,MANOKOTAK NATIVES LIMITED,250992.03,0,
AK,NATIVE VILLAGE OF PILOT POINT,250151.41,1,249968.39
NV,SUMMIT LAKE PAIUTE TRIBE,247769.0,1,0.0
AK,STUYAHOK LIMITED,244991.78,0,
AK,MASERCULIQ INCORPORATED,244060.47,2,244060.470081695
AK,UNALAKLEET NATIVE CORPORATION,242111.88,0,
AK,LEVELOCK VILLAGE,239803.08,0,
AK,NATIVE VILLAGE OF STEVENS,238895.23,1,0.0
AK,NUNAKAUIAK YUPIK CORPORATION,236303.43,0,
CA,CEDARVILLE RANCHERIA,236034.21,0,
AK,"CLARKS POINT, VILLAGE OF",235351.27,2,235351.27003658097
AK,"NATIVE VILLAGE OF GEORGETOWN, THE",235240.23,1,233719.77
AK,EVANSVILLE VILLAGE (AKA BETTLES FIELD),232673.61,3,232673.610048432
AK,NATIVE VILLAGE OF KARLUK; KARLUK IRA TRIBAL COUNCIL,230189.22,1,230189.22
CA,RESIGHINI RANCHERIA,228577.48,1,228577.48
AK,"PORT GRAHAM CORPORATION, THE",228455.0,0,
AK,STEBBINS NATIVE CORPORATION,227684.17,2,227684.16999999998
AK,VILLAGE OF STONY RIVER,227423.33,1,0.0
CA,UTU UTU GWAITU PAIUTE TRIBE OF THE BENTON PAIUTE RESERV,226958.63,1,226958.63
AK,NUNAPITCHUK LIMITED,222696.5,0,
AK,NATIVE VILLAGE OF BELKOFSKI,221911.19,1,211434.970041655
AK,VILLAGE OF DOT LAKE,220775.03,1,220775.03
AK,ST. MARY'S NATIVE CORPORATION,217168.17,1,217168.16999999998
AK,NATIVE VILLAGE OF EKUK,215890.33,1,215890.33
AK,"NAPAIMUTE, NATIVE VILLAGE OF",215569.52,1,215569.52
AK,NATIVE VILLAGE OF NIKOLSKI,212939.0,0,
AK,"QANIRTUUQ, INCORPORATED",212150.2,1,212150.2
AK,EMMONAK CORPORATION,211208.58,1,211208.58000000002
AK,AKUTAN TRADITIONAL COUNCIL,209210.8,2,209210.8
AK,PLATINUM TRADITIONAL VILLAGE,209079.01,1,18624.05
AK,PORTAGE CREEK VILLAGE,208045.76,0,
AK,NATIVE VILLAGE OF EAGLE,207377.58,1,207377.58
AK,NATIVE VILLAGE OF AKHIOK,203047.76,1,203047.76
AK,"PAIMIUT, NATIVE VILLAGE OF",201985.13,1,201985.13
AK,KWETHLUK INCORPORATED,201904.66,0,
AK,SHUMAGIN CORPORATION,201885.75,0,
AK,"KUITSARAK, INC.",200750.78,1,200750.77999999997
AK,QEMIRTALEK COAST CORPORATION,199753.26,1,199753.25999999998
AK,CHEESH'NA TRIBE,198207.07,1,198207.07
AK,ALASKA PENINSULA CORPORATION,197571.98,1,197571.98
CA,RAMONA BAND OF CAHUILLA INDIANS,197150.04,2,197150.04
AK,"NUNAMIUT CORPORATION, INC.",194048.68,0,
AK,NATIVE VILLAGE OF HAMILTON,192380.21,1,176776.21003389
AK,"ATKA, NATIVE VILLAGE OF",191984.43,1,0.0
AK,ILIAMNA DEVELOPMENT CORPORATION,191793.9,0,
AK,"FAR WEST, INC.",188152.36,2,188152.36
CA,KOI NATION OF NORTHERN CALIFORNIA,186773.45,0,
AK,CHITINA NATIVE CORPORATION,186158.31,2,183060.78
CA,"LA POSTA BAND OF MISSION INDIANS, THE",186157.11,1,185317.0
AK,SEA LION CORPORATION,185882.84,1,185882.84
AK,"UYAK NATIVES, INC.",185591.84,1,177418.95
AK,KASIGLUK INC.,180024.66,0,
AK,"ENGLISH BAY CORPORATION, THE",179961.58,1,179961.58
AK,KLAWOCK HEENYA CORPORATION,179646.5,1,179646.5
AK,SHAAN SEET INC,178341.43,1,178177.93
AK,GWITCHYAA ZHEE CORPORATION,177440.83,0,
AK,IVANOF BAY TRIBE,177141.79,0,
AK,QINARMIUT CORP,177033.21,0,
NV,WINNEMUCCA INDIAN COLONY OF NEVADA,176010.46,1,176010.46
AK,NATIVE VILLAGE OF GAKONA,169408.41,1,114991.900036228
AK,KOOTZNOOWOO INC,168625.53,1,168625.53
AK,ASKINUK CORPORATION,166249.91,0,
AK,SHAKTOOLIK NATIVE CORPORATION,166085.22,1,166085.22
AK,"CHINURUK, INC",165884.02,0,
AK,"AZACHOROK, INC.",165485.19,1,165485.19
AK,WALES NATIVE CORPORATION,162447.7,1,162447.700056816
AK,HEALY LAKE VILLAGE,162145.17,2,162145.16999999998
AK,SWAN LAKE CORPORATION,161841.84,0,
AK,RUSSIAN MISSION NATIVE CORPORATION,160902.95,0,
AK,NAPASKIAK INCORPORATED,160849.49,0,
AK,IQFIJOUAQ COMPANY,160113.88,1,160113.88
AK,KOKARMUIT CORP,159851.95,1,159851.95
AK,MANLEY VILLAGE COUNCIL,159354.64,2,159354.640026841
AK,"AKHIOK-KAGUYAK, INC.",159231.08,1,159231.08
CA,EWIIAAPAAYP BAND OF KUMEYAAY INDIANS,158462.67,2,158462.67
AK,"AKUTAN CORP, THE",157477.92,1,157477.91999999998
AK,YAK-TAT KWAAN INCORPORATED,154864.28,1,134315.22
AK,HAIDA CORPORATION,154547.52,1,154547.52
AK,KIJIK CORPORATION,151503.17,2,65800.000042469
AK,PAULOFF HARBOR VILLAGE,151192.76,1,151192.76
AK,NORTHWAY NATIVES INCORPORATED,150855.64,1,147724.49
AK,"FALSE PASS, NATIVE VILLAGE OF",150486.81,0,
