prime_recipient,sub_recipient,address,county,number,type,sub_amount,spent,tbs
"FINANCE, ALABAMA DEPT OF",CULLMAN COUNTY BOARD OF EDUCATION,402 Arnold St NE Cullman AL 35055-1964,AL-CULLMAN,68,GRANT,1934789,1934789,0
"FINANCE, ALABAMA DEPT OF","CULLMAN, CITY OF",204 2nd Ave NE Cullman AL 35055-2906,AL-CULLMAN,13,GRANT,781904.56,781904.56,0
"FINANCE, ALABAMA DEPT OF","CULLMAN, COUNTY OF",500 2ND AVE SW RM 105 CULLMAN AL 35055-4135,AL-CULLMAN,,DIRECT,345745.25,345745.25,0
"FINANCE, ALABAMA DEPT OF","CULLMAN, COUNTY OF",500 2nd Ave SW Rm 105 Cullman AL 35055-4135,AL-CULLMAN,57,GRANT,2344043.8,2344043.8,0
"FINANCE, ALABAMA DEPT OF","CYBER BROADBAND, INC.",1748 Eva Rd NE Cullman AL 35055-6006,AL-CULLMAN,9,CONTRACT,528721,528721,0
"FINANCE, ALABAMA DEPT OF","DADE PAPER & BAG, LLC",9601 NW 112TH AVE MEDLEY FL 33178-2521,FL-MIAMI-DADE,,DIRECT,86329.00004,86329,0
"FINANCE, ALABAMA DEPT OF","DADEVILLE, CITY OF",265 N Broadnax St Dadeville AL 36853-1304,AL-TALLAPOOSA,31,GRANT,164828.55,164828.55,0
"FINANCE, ALABAMA DEPT OF",DALE COUNTY COMMISSION,202 S Highway 123 Ste C Ozark AL 36360-8819,AL-DALE,481,GRANT,1058921.08,1058921.08,0
"FINANCE, ALABAMA DEPT OF",DALLAS COUNTY COMMISSION (INC),100 Church St Rm 104 Selma AL 36701-4609,AL-DALLAS,380,GRANT,1251933.46,1251933.46,0
"FINANCE, ALABAMA DEPT OF",DANIEL S. HADDEN,PO BOX 210684 Montgomery AL 36121-0684,AL-MONTGOMERY,,DIRECT,747814.45,747814.45,0
"FINANCE, ALABAMA DEPT OF","DAPHNE, CITY OF",1705 Main St Daphne AL 36526-4495,AL-BALDWIN,127,GRANT,296808.4,296808.4,0
"FINANCE, ALABAMA DEPT OF",DARDEN BRIDGEFORTH & SON,PO BOX 159 Tanner AL 35671-0159,AL-LIMESTONE,193,GRANT,91192.42,91192.42,0
"FINANCE, ALABAMA DEPT OF",DAVIS DIRECT,1241 Newell Pkwy Montgomery AL 36110-3212,AL-MONTGOMERY,,DIRECT,97459.97,97459.97,0
"FINANCE, ALABAMA DEPT OF",DC FARMS,631 Travelers Rest Rd Samson AL 36477-5365,AL-GENEVA,194,GRANT,68684.85,68684.85,0
"FINANCE, ALABAMA DEPT OF",DE-CODE GROUP INC,3940 Laurel Canyon Blvd STE 1011 Studio City CA 91604-3709,CA-LOS ANGELES,,DIRECT,202500,202500,0
"FINANCE, ALABAMA DEPT OF",DEKALB COUNTY COMMISSION,111 Grand Ave SW Fort Payne AL 35967-1970,AL-DEKALB,,DIRECT,179480,179480,0
"FINANCE, ALABAMA DEPT OF",DEKALB COUNTY COMMISSION,111 Grand Ave SW Fort Payne AL 35967-1970,AL-DEKALB,240,GRANT,2076625,2076625,0
"FINANCE, ALABAMA DEPT OF",DEMOPOLIS CA TV COMPANY,105 S Cedar Ave Demopolis AL 36732-2227,AL-MARENGO,10,CONTRACT,64790,64790,0
"FINANCE, ALABAMA DEPT OF","DEMOPOLIS, CITY OF",211 N Walnut Ave Demopolis AL 36732-2031,AL-MARENGO,415,GRANT,58242.21,58242.21,0
"FINANCE, ALABAMA DEPT OF",DEPARTMENT OF YOUTH SERVICES,PO BOX 66 Mount Meigs AL 36057-0066,AL-MONTGOMERY,362,GRANT,217834.73,217834.73,0
"FINANCE, ALABAMA DEPT OF",DEPOT PARTNERS,7800 N Orange Blossom Trl Orlando FL 32810-2637,FL-ORANGE,,DIRECT,62732.55,62732.55,0
"FINANCE, ALABAMA DEPT OF",DEPT OF ENVIRONMENTAL MGMT,PO BOX 301463 Montgomery AL 36130-1463,AL-MONTGOMERY,,DIRECT,133272.59,133272.59,0
"FINANCE, ALABAMA DEPT OF",DEVANEY BROTHERS FARMS,3096 County Line Rd Madison AL 35756-4920,AL-LIMESTONE,195,GRANT,52687.54,52687.54,0
"FINANCE, ALABAMA DEPT OF","DH PACE COMPANY, INC",1901 E 119th St Olathe KS 66061-9502,KS-JOHNSON,,DIRECT,55600.00005,55600,0
"FINANCE, ALABAMA DEPT OF",DIOCESE OF BIRMINGHAM IN ALABAMA,112 2nd Ave SE Cullman AL 35055-3512,AL-CULLMAN,169,GRANT,616200,616200,0
"FINANCE, ALABAMA DEPT OF","DME TRANSPORT, LLC",1018 N Flowood Dr Flowood MS 39232-9532,MS-RANKIN,,DIRECT,2890044.12,2890044.12,0
"FINANCE, ALABAMA DEPT OF",DONALD LEE HEAPS,6791 County Road 214 Trinity AL 35673-4011,AL-LAWRENCE,196,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF","DOTHAN, CITY OF",126 N Saint Andrews St Dothan AL 36303-4838,AL-HOUSTON,129,GRANT,3279444,3279444,0
"FINANCE, ALABAMA DEPT OF",DOUBLE K FARMS LLC,PO BOX 206 Gallion AL 36742-0206,AL-MARENGO,176,GRANT,68480.00004,68480,0
"FINANCE, ALABAMA DEPT OF","DOUGLAS, TOWN OF",55 Al Highway 168 Horton AL 35980-8455,AL-MARSHALL,5,GRANT,61353.6,61353.6,0
"FINANCE, ALABAMA DEPT OF","DREAM MEDICAL GROUP, LLC",16917 INTERSTATE 45 S THE WOODLANDS TX 77385-3300,TX-MONTGOMERY,,DIRECT,3450000,3450000,0
"FINANCE, ALABAMA DEPT OF",DRISKELL COTTON FARMS,14353 Cat Deakle Rd Grand Bay AL 36541-3309,AL-MOBILE,197,GRANT,158995.3,158995.3,0
"FINANCE, ALABAMA DEPT OF",DRURY CATFISH FARMS INC,12771 Al Highway 25 Greensboro AL 36744-5413,AL-HALE,198,GRANT,96320,96320,0
"FINANCE, ALABAMA DEPT OF",DXC MS LLC,1775 TYSONS BLVD FLOOR 8 TYSONS VA 22102-4251,VA-FAIRFAX,,DIRECT,61174.22,61174.22,0
"FINANCE, ALABAMA DEPT OF","DYNAMIS, INC.","8260 WILLOW OAKS CORPORATE DR., SUITE 800 FAIRFAX VA 22031-4504",VA-FAIRFAX,,DIRECT,224566.95,224566.95,0
"FINANCE, ALABAMA DEPT OF","E.M. DUNAWAY GENERAL CONTRACTORS, INC",11141 US Highway 31 Ste C Spanish Fort AL 36527-5796,AL-BALDWIN,,DIRECT,350000,350000,0
"FINANCE, ALABAMA DEPT OF","ECLECTIC, TOWN OF",145 Main St Eclectic AL 36024-6280,AL-ELMORE,155,GRANT,59200.15,59200.15,0
"FINANCE, ALABAMA DEPT OF","ELBA, CITY OF",200 Buford St Elba AL 36323-1706,AL-COFFEE,30,GRANT,155873.19,155873.19,0
"FINANCE, ALABAMA DEPT OF","ELMORE, COUNTY OF",100 E COMMERCE ST STE 200 WETUMPKA AL 36092-2746,AL-ELMORE,,DIRECT,223384,223384,0
"FINANCE, ALABAMA DEPT OF","ELMORE, COUNTY OF",100 E Commerce St Ste 200 Wetumpka AL 36092-2746,AL-ELMORE,381,GRANT,2315575,2315575,0
"FINANCE, ALABAMA DEPT OF",EMERGENCY MANAGEMENT AGENCY,PO BOX 300658 Montgomery AL 36130-0658,AL-MONTGOMERY,,DIRECT,146957.96,146957.96,0
"FINANCE, ALABAMA DEPT OF",ENTERPRISE CITY SCHOOLS,220 Hutchinson St Enterprise AL 36330-1934,AL-COFFEE,69,GRANT,1419705,1419705,0
"FINANCE, ALABAMA DEPT OF","ENTERPRISE, CITY OF",501 S Main St Enterprise AL 36330-3853,AL-COFFEE,130,GRANT,1364524,1364524,0
"FINANCE, ALABAMA DEPT OF","ENVIRONMENTAL & HAZMAT SERVICES, INC.",1129 N COUNTY ROAD 55 ASHFORD AL 36312-3476,AL-HOUSTON,,DIRECT,446788.25,446788.25,0
"FINANCE, ALABAMA DEPT OF",ENVIRONMENTAL SYSTEMS RESEARCH,PO BOX 741076 Los Angeles CA 90074-1076,CA-LOS ANGELES,,DIRECT,91666.67,91666.67,0
"FINANCE, ALABAMA DEPT OF",ERIC SMITH,518 Herbert Windle Rd Reform AL 35481-2737,AL-PICKENS,199,GRANT,198644,198644,0
"FINANCE, ALABAMA DEPT OF","ETOWAH, COUNTY OF",800 FORREST AVE STE 11 GADSDEN AL 35901-3663,AL-ETOWAH,,DIRECT,502180,502180,0
"FINANCE, ALABAMA DEPT OF","ETOWAH, COUNTY OF",800 Forrest Ave Ste 11 Gadsden AL 35901-3695,AL-ETOWAH,382,GRANT,2727144.33,2727144.33,0
"FINANCE, ALABAMA DEPT OF",EUFAULA CITY SCHOOL DISTRICT,333 State Docks Rd Eufaula AL 36027-3317,AL-BARBOUR,363,GRANT,1413834,1413834,0
"FINANCE, ALABAMA DEPT OF","EUFAULA, CITY OF",545 E Barbour St Eufaula AL 36027-1709,AL-BARBOUR,131,GRANT,115810.36,115810.36,0
"FINANCE, ALABAMA DEPT OF",FARMERS TELECOMMUNICATIONS COOPERATIVE INC,PO BOX 217 Rainsville AL 35986-0217,AL-DEKALB,11,CONTRACT,634530,634530,0
"FINANCE, ALABAMA DEPT OF",FAST ENTERPRISES LLC,7229 S Alton Way Centennial CO 80112-2202,CO-ARAPAHOE,,DIRECT,566235,566235,0
"FINANCE, ALABAMA DEPT OF",FASTENAL COMPANY,2001 THEURER BLVD WINONA MN 55987-1500,MN-WINONA,,DIRECT,404112,404112,0
"FINANCE, ALABAMA DEPT OF",FAT BACK PIG PROJECT,130 Daniels Chapel Rd Eva AL 35621-8204,AL-MORGAN,200,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF",FAULKNER UNIVERSITY,5345 Atlanta Hwy Montgomery AL 36109-3323,AL-MONTGOMERY,495,GRANT,2860056,2860056,0
"FINANCE, ALABAMA DEPT OF","FAYETTE, CITY OF",203 Temple Ave N Fayette AL 35555-2306,AL-FAYETTE,419,GRANT,127956.72,127956.72,0
"FINANCE, ALABAMA DEPT OF","FAYETTE, COUNTY OF",103 1st Ave NW Ste 2 Fayette AL 35555-2641,AL-FAYETTE,383,GRANT,709156,709156,0
"FINANCE, ALABAMA DEPT OF","FERGUSON ENTERPRISES, LLC",21913 INTERSTATE 30 BRYANT AR 72022-8039,AR-SALINE,,DIRECT,367937.25,367937.25,0
"FINANCE, ALABAMA DEPT OF",FISHER SCIENTIFIC,3970 Johns Creek Ct Suwanee GA 30024-1297,GA-FORSYTH,,DIRECT,769985.51,769985.51,0
"FINANCE, ALABAMA DEPT OF","FLORALA, CITY OF",22664 Wall Ave Florala AL 36442-3820,AL-COVINGTON,132,GRANT,109048.47,109048.47,0
"FINANCE, ALABAMA DEPT OF",FLORENCE FROZEN MEAT,1050 S Court St Florence AL 35630-6116,AL-LAUDERDALE,201,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF","FLORENCE, CITY OF",110 W College St Florence AL 35630-5517,AL-LAUDERDALE,11,GRANT,1950872.23,1950872.23,0
"FINANCE, ALABAMA DEPT OF",FLUENCE AUTOMATION LLC,3323 N KENNICOTT AVE ARLINGTON HEIGHTS IL 60004,IL-COOK,,DIRECT,340000,340000,0
"FINANCE, ALABAMA DEPT OF","FORESTWOOD FARM, INC.",4101 Coalburg Rd Birmingham AL 35207-3180,AL-JEFFERSON,202,GRANT,148665.28,148665.28,0
"FINANCE, ALABAMA DEPT OF",FORT CODE INC.,3005 US Highway 411 N Centre AL 35960-8611,AL-CHEROKEE,12,CONTRACT,81297,81297,0
"FINANCE, ALABAMA DEPT OF","FORT PAYNE, CITY OF",100 Alabama Ave SW Fort Payne AL 35967-1951,AL-DEKALB,14,GRANT,683049.12,683049.12,0
"FINANCE, ALABAMA DEPT OF",FRANKLIN COUNTY BOARD OF EDUCATION,500 Coffee Ave NE Russellville AL 35653-1858,AL-FRANKLIN,70,GRANT,954895,954895,0
"FINANCE, ALABAMA DEPT OF","FRANKLIN, COUNTY OF",405 N JACKSON AVE RUSSELLVILLE AL 35653-2346,AL-FRANKLIN,,DIRECT,232792,232792,0
"FINANCE, ALABAMA DEPT OF","FRANKLIN, COUNTY OF",405 Jackson Ave N Russellville AL 35653-2346,AL-FRANKLIN,482,GRANT,142345.52,142345.52,0
"FINANCE, ALABAMA DEPT OF",FULLER HOMES LLC,1808 Scobee Ave SW Decatur AL 35603-2407,AL-MORGAN,254,GRANT,105839.41,105839.41,0
"FINANCE, ALABAMA DEPT OF",FUTURESTITCH INC.,144 AVENIDA SERRA SAN CLEMENTE CA 92672-4759,CA-ORANGE,,DIRECT,58500.00005,58500,0
"FINANCE, ALABAMA DEPT OF","FYFFE, TOWN OF",514 Campbell St Fyffe AL 35971-3493,AL-DEKALB,44,GRANT,70778.64,70778.64,0
"FINANCE, ALABAMA DEPT OF","G & H INTERNATIONAL SERVICES, INC.",800 W BROAD ST UNIT 6130 FALLS CHURCH VA 22040-8044,VA-FALLS CHURCH,,DIRECT,87983.6,87983.6,0
"FINANCE, ALABAMA DEPT OF","GADSDEN, CITY OF",90 Broad St Gadsden AL 35901-3700,AL-ETOWAH,34,GRANT,872562.49,872562.49,0
"FINANCE, ALABAMA DEPT OF","GENEVA, COUNTY OF",200 N Commerce St Geneva AL 36340-2000,AL-GENEVA,384,GRANT,253206.77,253206.77,0
"FINANCE, ALABAMA DEPT OF","GIGAFY, LLC",595 Ross St Heflin AL 36264-1339,AL-CLEBURNE,13,CONTRACT,410675,410675,0
"FINANCE, ALABAMA DEPT OF","GLENCOE, CITY OF",201 Chastain Blvd W Glencoe AL 35905-2003,AL-ETOWAH,27,GRANT,175465.61,175465.61,0
"FINANCE, ALABAMA DEPT OF","GLENWOOD, INC",150 Glenwood Ln Birmingham AL 35242-5700,AL-JEFFERSON,203,GRANT,188991.27,188991.27,0
"FINANCE, ALABAMA DEPT OF",GOLDBELT SECURITY LLC,603 PILOT HOUSE DR STE 400 NEWPORT NEWS VA 23606-1904,VA-NEWPORT NEWS,,DIRECT,11629850,11629850,0
"FINANCE, ALABAMA DEPT OF","GOOD HOPE, CITY OF",135 Municipal Dr Cullman AL 35057-1104,AL-CULLMAN,133,GRANT,112318,112318,0
"FINANCE, ALABAMA DEPT OF","GOODWATER, CITY OF",166 Harris St Goodwater AL 35072-2007,AL-COOSA,40,GRANT,82953.17,82953.17,0
"FINANCE, ALABAMA DEPT OF","GRAYBAR ELECTRIC COMPANY, INC.",4359 HALLS MILL RD MOBILE AL 36693-5621,AL-MOBILE,,DIRECT,126129.55,126129.55,0
"FINANCE, ALABAMA DEPT OF","GREENE, COUNTY OF",400 Morrow Ave Eutaw AL 35462-1109,AL-GREENE,385,GRANT,145633.76,145633.76,0
"FINANCE, ALABAMA DEPT OF","GREENSBORO, CITY OF",1101 Main St Greensboro AL 36744-1503,AL-HALE,421,GRANT,73333.37,73333.37,0
"FINANCE, ALABAMA DEPT OF","GREENVILLE, CITY OF",119 E Commerce St Greenville AL 36037-2209,AL-BUTLER,454,GRANT,66709.33,66709.33,0
"FINANCE, ALABAMA DEPT OF","GULF SHORES, CITY OF",1905 W 1st St Gulf Shores AL 36542-4450,AL-BALDWIN,36,GRANT,547332,547332,0
"FINANCE, ALABAMA DEPT OF",GULF SUPPLY COMPANY INC,PO BOX 11454 Mobile AL 36671-0454,AL-MOBILE,,DIRECT,639089.86,639089.86,0
"FINANCE, ALABAMA DEPT OF","GUNTERSVILLE, CITY OF",341 Gunter Ave Guntersville AL 35976-1128,AL-MARSHALL,19,GRANT,429604.53,429604.53,0
"FINANCE, ALABAMA DEPT OF","H&B AMERICA, LLC",50 Sherwood Dr Tuscaloosa AL 35401-1170,AL-TUSCALOOSA,,DIRECT,3768258.62,3768258.62,0
"FINANCE, ALABAMA DEPT OF",HALE COUNTY BOARD OF EDUCATION,1115 Powers St Greensboro AL 36744-1219,AL-HALE,91,GRANT,678327,678327,0
"FINANCE, ALABAMA DEPT OF","HALE, COUNTY OF",1001 Main St Rm 13 Greensboro AL 36744-1527,AL-HALE,386,GRANT,473683.64,473683.64,0
"FINANCE, ALABAMA DEPT OF",HAMILTON FARMS,PO BOX 125 Hillsboro AL 35643-0125,AL-LAWRENCE,204,GRANT,125033.51,125033.51,0
"FINANCE, ALABAMA DEPT OF","HANCEVILLE, CITY OF",112 Main St SE Hanceville AL 35077-5010,AL-CULLMAN,29,GRANT,188380.73,188380.73,0
"FINANCE, ALABAMA DEPT OF","HARTFORD, CITY OF",203 W Main St Hartford AL 36344-1626,AL-GENEVA,422,GRANT,146697,146697,0
"FINANCE, ALABAMA DEPT OF",HARTSELLE CITY BOARD OF EDUCATION,305 College St NE Hartselle AL 35640-1938,AL-MORGAN,315,GRANT,836928.71,836928.71,0
"FINANCE, ALABAMA DEPT OF","HARTSELLE, CITY OF",200 Sparkman St NW Hartselle AL 35640-2426,AL-MORGAN,134,GRANT,707885,707885,0
"FINANCE, ALABAMA DEPT OF","HAWK, INC.",301 HAWK PL MONTGOMERY AL 36117-2137,AL-MONTGOMERY,,DIRECT,99040,99040,0
"FINANCE, ALABAMA DEPT OF","HAYNEVILLE, TOWN OF",133 W Lafayette St Hayneville AL 36040-2036,AL-LOWNDES,156,GRANT,62009,62009,0
"FINANCE, ALABAMA DEPT OF","HEADLAND, CITY OF",9 Park St Headland AL 36345-1746,AL-HENRY,423,GRANT,193687.92,193687.92,0
"FINANCE, ALABAMA DEPT OF","HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE, THE",101 Sivley Rd SW Huntsville AL 35801-4421,AL-MADISON,63,GRANT,1100000,1100000,0
"FINANCE, ALABAMA DEPT OF",HENRY COUNTY BOARD OF EDUCATION,300 S Trawick St Abbeville AL 36310-2425,AL-HENRY,71,GRANT,663769,663769,0
"FINANCE, ALABAMA DEPT OF",HENRY COUNTY COMMISSION,101 Court Sq Ste A Abbeville AL 36310-2135,AL-HENRY,,DIRECT,87556,87556,0
"FINANCE, ALABAMA DEPT OF",HENRY COUNTY COMMISSION,101 Court Sq Ste A Abbeville AL 36310-2135,AL-HENRY,241,GRANT,719183,719183,0
"FINANCE, ALABAMA DEPT OF","HEPACO, LLC",2711 BURCH DR CHARLOTTE NC 28269-4476,NC-MECKLENBURG,,DIRECT,68623,68623,0
"FINANCE, ALABAMA DEPT OF",HERZING INSTITUTE,280 W Valley Ave Birmingham AL 35209-4816,AL-JEFFERSON,502,GRANT,441972.45,441972.45,0
"FINANCE, ALABAMA DEPT OF",HIGHLAND HEALTH SYSTEMS,331 E 8th St Anniston AL 36207-5731,AL-CALHOUN,112,GRANT,188095.12,188095.12,0
"FINANCE, ALABAMA DEPT OF","HMR OF ALABAMA, INC",PO BOX 5285 Anderson SC 29623-5285,SC-ANDERSON,,DIRECT,6500392.86,6500392.86,0
"FINANCE, ALABAMA DEPT OF",HOKES BLUFF VOL FIRE DEPT,3301 Alford Bend Rd Gadsden AL 35903-4826,AL-ETOWAH,149,GRANT,58488.04,58488.04,0
"FINANCE, ALABAMA DEPT OF","HOLOGIC, INC.",250 CAMPUS DR MARLBOROUGH MA 01752-3020,MA-MIDDLESEX,,DIRECT,2237646.24,2237646.24,0
"FINANCE, ALABAMA DEPT OF","HOME DEPOT U.S.A., INC.",701 SAN MARCO BLVD JACKSONVILLE FL 32207-8175,FL-DUVAL,,DIRECT,138364.36,138364.36,0
"FINANCE, ALABAMA DEPT OF",HOMEWOOD CITY SCHOOL DISTRICT,450 Dale Ave Birmingham AL 35209-3401,AL-JEFFERSON,72,GRANT,868418,868418,0
"FINANCE, ALABAMA DEPT OF","HOMTEX, INC.",2125 2nd Ave SW Cullman AL 35055-5343,AL-CULLMAN,263,GRANT,8795460.4,8795460.4,0
"FINANCE, ALABAMA DEPT OF",HOOVER CITY SCHOOL DISTRICT,2810 Metropolitan Way Birmingham AL 35243-2944,AL-JEFFERSON,73,GRANT,2594277,2594277,0
"FINANCE, ALABAMA DEPT OF","HOUSTON, COUNTY OF",462 NORTH OATES ST DOTHAN AL 36303-4513,AL-HOUSTON,,DIRECT,567851.44,567851.44,0
"FINANCE, ALABAMA DEPT OF","HOUSTON, COUNTY OF",PO BOX 6406 Dothan AL 36302-6406,AL-HOUSTON,483,GRANT,1039321.43,1039321.43,0
"FINANCE, ALABAMA DEPT OF",HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,601 Genome Way Huntsville AL 35806-2908,AL-MADISON,62,GRANT,600000,600000,0
"FINANCE, ALABAMA DEPT OF",HUNTINGTON COLLEGE,1500 E Fairview Ave Montgomery AL 36106-2114,AL-MONTGOMERY,261,GRANT,1109258.22,1109258.22,0
"FINANCE, ALABAMA DEPT OF","HZC HOLDINGS, LLC",1140 Deerfoot Pkwy Rainbow City AL 35906-8720,AL-ETOWAH,,DIRECT,121027.9,121027.9,0
"FINANCE, ALABAMA DEPT OF",I3 ACADEMY,PO BOX 320308 Birmingham AL 35232-0308,AL-JEFFERSON,364,GRANT,232325,232325,0
"FINANCE, ALABAMA DEPT OF","IDER, TOWN OF",10793 Al Highway 75 Ider AL 35981-4627,AL-DEKALB,52,GRANT,54330.83,54330.83,0
"FINANCE, ALABAMA DEPT OF","INDUSTRIAL ELECTRONICS, INC.",10334 COGDILL RD KNOXVILLE TN 37932-3305,TN-KNOX,,DIRECT,293676.83,293676.83,0
"FINANCE, ALABAMA DEPT OF",INDUSTRIAL REVOLVING FUND,PO BOX 300658 Montgomery AL 36130-0658,AL-MONTGOMERY,,DIRECT,196027,196027,0
"FINANCE, ALABAMA DEPT OF",INFIRMARY FOUNDATION INC,5 Mobile Infirmary Cir Mobile AL 36607-3513,AL-MOBILE,171,GRANT,3000000,3000000,0
"FINANCE, ALABAMA DEPT OF","INFORMATION TRANSPORT SOLUTIONS, INC",335 JEANETTE BARRETT INDUSTRIAL BLVD WETUMPKA AL 36092-5437,AL-ELMORE,,DIRECT,4743660.06,4743660.06,0
"FINANCE, ALABAMA DEPT OF",INTEGRA BIOSCIENCES CORP.,2 WENTWORTH DR HUDSON NH 03051-4918,NH-HILLSBOROUGH,,DIRECT,306240.79,306240.79,0
"FINANCE, ALABAMA DEPT OF","INTEGRATED GRAPHICS, LLC",2739 Harper Woods Dr Marietta GA 30062-8602,GA-COBB,,DIRECT,1110000,1110000,0
"FINANCE, ALABAMA DEPT OF",INTERMARK GROUP INC,101 25th St N Birmingham AL 35203-4345,AL-JEFFERSON,,DIRECT,7295620.07,7295620.07,0
"FINANCE, ALABAMA DEPT OF","INTERNATIONAL BUYING CORP WORLDWIDE, INC",360 Spring St Newport RI 02840-6822,RI-NEWPORT,,DIRECT,640000.0001,640000,0
"FINANCE, ALABAMA DEPT OF",INTERSTATE PLASTICS,PO BOX 130027 Sacramento CA 95853-0027,CA-SACRAMENTO,,DIRECT,198029.18,198029.18,0
"FINANCE, ALABAMA DEPT OF","INTERWORLD HIGHWAY, LLC",205 WESTWOOD AVE LONG BRANCH NJ 07740-6564,NJ-MONMOUTH,,DIRECT,138720,138720,0
"FINANCE, ALABAMA DEPT OF",JACKSON COUNTY COMMISSION,102 E Laurel St Scottsboro AL 35768-1860,AL-JACKSON,,DIRECT,216272,216272,0
"FINANCE, ALABAMA DEPT OF",JACKSON COUNTY COMMISSION,102 E Laurel St Scottsboro AL 35768-1860,AL-JACKSON,242,GRANT,1584344,1584344,0
"FINANCE, ALABAMA DEPT OF",JACKSONVILLE STATE UNIVERSITY (INC),700 PELHAM RD N JACKSONVILLE AL 36265-1623,AL-CALHOUN,,DIRECT,58110.21,58110.21,0
"FINANCE, ALABAMA DEPT OF",JACKSONVILLE STATE UNIVERSITY (INC),700 Pelham Rd N Jacksonville AL 36265-1602,AL-CALHOUN,163,GRANT,2230562.14,2230562.14,0
"FINANCE, ALABAMA DEPT OF","JACKSONVILLE, CITY OF",320 Church Ave SE Jacksonville AL 36265-2651,AL-CALHOUN,135,GRANT,561551,561551,0
"FINANCE, ALABAMA DEPT OF",JEFFERSON COUNTY BOARD OF EDUCATION,2100 18th St S Birmingham AL 35209-1296,AL-JEFFERSON,75,GRANT,7667221,7667221,0
"FINANCE, ALABAMA DEPT OF","JESCO, INC",PO BOX 210638 Montgomery AL 36121-0638,AL-MONTGOMERY,,DIRECT,303905.39,303905.39,0
"FINANCE, ALABAMA DEPT OF","JMR+H ARCHITECTURE, PC",445 DEXTER AVE STE 5050 MONTGOMERY AL 36104-3869,AL-MONTGOMERY,,DIRECT,85536.35,85536.35,0
"FINANCE, ALABAMA DEPT OF",JOHN ANDERSON,18250 Red Tail St Athens AL 35613-5271,AL-LIMESTONE,205,GRANT,81652.81,81652.81,0
"FINANCE, ALABAMA DEPT OF",JOHN LEE PAINT CO,34 Coliseum Blvd Montgomery AL 36109-2706,AL-MONTGOMERY,,DIRECT,1136624.41,1136624.41,0
"FINANCE, ALABAMA DEPT OF",JTM BROADBAND LLC,136 Commerce Dr Hohenwald TN 38462-1987,TN-LEWIS,14,CONTRACT,1149003.42,1149003.42,0
"FINANCE, ALABAMA DEPT OF",JUDSON COLLEGE,302 Bibb St Marion AL 36756-2504,AL-PERRY,496,GRANT,183498.09,183498.09,0
"FINANCE, ALABAMA DEPT OF",KEITH F WADE,132 Threatt Rd Eufaula AL 36027-8816,AL-BARBOUR,206,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF","KINSEY, TOWN OF",6947 Walden Dr Kinsey AL 36303-7555,AL-HOUSTON,461,GRANT,73906.83,73906.83,0
"FINANCE, ALABAMA DEPT OF","L&G OPERATIONS, INC.",5025 County Road 9 Greensboro AL 36744-5628,AL-HALE,177,GRANT,72893.97,72893.97,0
"FINANCE, ALABAMA DEPT OF",LABORATORY CORP OF AMERICA HOLDINGS,PO BOX 12140 Burlington NC 27216-2140,NC-ALAMANCE,,DIRECT,204531,204531,0
"FINANCE, ALABAMA DEPT OF",LAFFERTY EQUIPMENT MFG INC,5614 Oak Grove Rd North Little Rock AR 72118-1955,AR-PULASKI,,DIRECT,215870.31,215870.31,0
"FINANCE, ALABAMA DEPT OF",LANE CATTLE COMPANY,2517 Benton Rd Lowndesboro AL 36752-4733,AL-LOWNDES,207,GRANT,276693,276693,0
"FINANCE, ALABAMA DEPT OF","LASER PLUS IMAGING, LLC",6739 VARIEL AVE CANOGA PARK CA 91303-2811,CA-LOS ANGELES,,DIRECT,1662540,1662540,0
"FINANCE, ALABAMA DEPT OF",LAUDERDALE COUNTY COMMISSION,PO BOX 1059 Florence AL 35631-1059,AL-LAUDERDALE,,DIRECT,216524,216524,0
"FINANCE, ALABAMA DEPT OF",LAUDERDALE COUNTY COMMISSION,PO BOX 1059 Florence AL 35631-1059,AL-LAUDERDALE,243,GRANT,665035.63,665035.63,0
"FINANCE, ALABAMA DEPT OF",LAWRENCE COUNTY SCHOOL DISTRICT,14131 Market St Moulton AL 35650-1407,AL-LAWRENCE,94,GRANT,1086251,1086251,0
"FINANCE, ALABAMA DEPT OF","LAWRENCE, COUNTY OF",12001 AL HIGHWAY 157 STE 1 MOULTON AL 35650-1006,AL-LAWRENCE,,DIRECT,210196,210196,0
"FINANCE, ALABAMA DEPT OF","LAWRENCE, COUNTY OF",12001 Al Highway 157 Ste 1 Moulton AL 35650-1006,AL-LAWRENCE,484,GRANT,1119581,1119581,0
"FINANCE, ALABAMA DEPT OF",LEAD EDUCATION FOUNDATION,539 Paddock Ln Montgomery AL 36109-4620,AL-MONTGOMERY,106,GRANT,211300,211300,0
"FINANCE, ALABAMA DEPT OF",LEE CO EMA,PO BOX 2769 Opelika AL 36803-2769,AL-LEE,387,GRANT,371706.44,371706.44,0
"FINANCE, ALABAMA DEPT OF",LEE COUNTY SHERIFF`S OFFICE,PO BOX 688 Opelika AL 36803-0688,AL-LEE,,DIRECT,249340,249340,0
