prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
"PUBLIC SAFETY, ALASKA DEPT OF",GREGORY BOTTJEN,6495 N Palmer Fishhook Rd Palmer AK 99645-8069,AK-MATANUSKA-SUSITNA,202088,GRANT,57584.11,57584.11,0
"PUBLIC SAFETY, ALASKA DEPT OF",GREGORY D. JOHNSON,PO BOX 52 Homer AK 99603-0052,AK-KENAI PENINSULA,200444,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",GREYBEARD FISHERIES INC,PO BOX 2433 Cordova AK 99574-2433,AK-VALDEZ CORDOVA,202234,GRANT,96313.3,96313.3,0
"PUBLIC SAFETY, ALASKA DEPT OF",GROUND EFFECTS LANDSCAPE,6151 A St Anchorage AK 99518-1818,AK-ANCHORAGE,203442,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",GSM LLC,PO BOX 8223 Nikiski AK 99635-8223,AK-KENAI PENINSULA,202886,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",GUST TUNGUING JR.,PO BOX 5040 Koliganek AK 99576-5040,AK-DILLINGHAM,200700,GRANT,88332.68,88332.68,0
"PUBLIC SAFETY, ALASKA DEPT OF","GUSTAVUS, CITY OF",PO BOX 1 Gustavus AK 99826-0001,AK-HOONAH-ANGOON,20-CRF-079,GRANT,631680.53,598841.97,32838.56
"PUBLIC SAFETY, ALASKA DEPT OF","GYPSY QUEEN, INC",171 Mountain View Dr Apt B Homer AK 99603-7157,AK-KENAI PENINSULA,202484,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","HAINES, BOROUGH OF",PO BOX 1209 Haines AK 99827-1209,AK-HAINES,20-CRF-080,GRANT,4007216.22,3867407.98,139808.24
"PUBLIC SAFETY, ALASKA DEPT OF",HAIR OF THE DOG LLC,1000 W 66th Ct Apt B Anchorage AK 99518-1560,AK-ANCHORAGE,201094,GRANT,98181,98181,0
"PUBLIC SAFETY, ALASKA DEPT OF",HALE YEAH INC,1027 E 5th Ave Anchorage AK 99501-2738,AK-ANCHORAGE,202335,GRANT,55140.85,55140.85,0
"PUBLIC SAFETY, ALASKA DEPT OF",HALF MOON BAY FISHERIES LLC,1620 Kristin Way Mckinleyville CA 95519-4350,CA-HUMBOLDT,205265,GRANT,73022.05,73022.05,0
"PUBLIC SAFETY, ALASKA DEPT OF",HALMARV ENTERPRISES LLC,2825 Rose St Ste 202 Anchorage AK 99508-4772,AK-ANCHORAGE,202831,GRANT,66487.65,66487.65,0
"PUBLIC SAFETY, ALASKA DEPT OF",HAMMER & SON LLC,1013 S Discovery Rd Port Townsend WA 98368-9203,WA-JEFFERSON,203253,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",HANDS 4 HIRE INC,41748 Tischer Ave Soldotna AK 99669-8504,AK-KENAI PENINSULA,201168,GRANT,55196.29,55196.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",HAROLD GARY ANDERSON (F/V ALRENICE),PO BOX 47 Chignik Lagoon AK 99565-0047,AK-KENAI PENINSULA,201327,GRANT,55188.78,55188.78,0
"PUBLIC SAFETY, ALASKA DEPT OF",HAVEMEISTER TRUCKING LLC,7795 E Dania Ln Wasilla AK 99654-4687,AK-MATANUSKA-SUSITNA,201173,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",HAYLEY J HOOVER,PO BOX 2302 Cordova AK 99574-2302,AK-VALDEZ CORDOVA,201756,GRANT,57883.48,57883.48,0
"PUBLIC SAFETY, ALASKA DEPT OF","HEADHUNTER'S SALON, INC.",44539 Sterling Hwy Ste 102 Soldotna AK 99669-7920,AK-KENAI PENINSULA,201150,GRANT,52739.83,52739.83,0
"PUBLIC SAFETY, ALASKA DEPT OF","HEALTHWISE BACK, NECK & EXTREMITY CARE CENTER, P.C.",11421 Old Glenn Hwy Ste 101 Eagle River AK 99577-7783,AK-ANCHORAGE,202347,GRANT,77863.51,77863.51,0
"PUBLIC SAFETY, ALASKA DEPT OF","HEALTHWISE PHYSICAL THERAPY, INC.",11421 Old Glenn Hwy Ste 101 Eagle River AK 99577-7783,AK-ANCHORAGE,202351,GRANT,66167.4,66167.4,0
"PUBLIC SAFETY, ALASKA DEPT OF",HEIL ENTERPRISES INC.,41627 Gladys Dr Homer AK 99603-9482,AK-KENAI PENINSULA,202142,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",HEISTEN FINANCIAL LLC,3003 Minnesota Dr Ste 305 Anchorage AK 99503-3673,AK-ANCHORAGE,202399,GRANT,50773.58,50773.58,0
"PUBLIC SAFETY, ALASKA DEPT OF",HILLCREST CHILDRENS CENTER,900 Hollywood Dr Anchorage AK 99501-1227,AK-ANCHORAGE,,DIRECT,55200.00005,55200,0
"PUBLIC SAFETY, ALASKA DEPT OF","HIS HERITAGE, INC",700 W 41st Ave Ste 101 Anchorage AK 99503-6603,AK-ANCHORAGE,202370,GRANT,58383.73,58383.73,0
"PUBLIC SAFETY, ALASKA DEPT OF",HOLLAND PLAZA & STORAGE LLC,43530 Kalifornsky Beach Rd Ste 13 Soldotna AK 99669-8275,AK-KENAI PENINSULA,200867,GRANT,57917.72,57917.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",HOLLY WYSOCKI,PO BOX 175 Dillingham AK 99576-0175,AK-DILLINGHAM,200315,GRANT,0,0,0
"PUBLIC SAFETY, ALASKA DEPT OF","HOLY CROSS, CITY OF",PO BOX 89 Holy Cross AK 99602-0089,AK-YUKON-KOYUKUK,20-CRF-082,GRANT,129850.64,118977.96,10872.68
"PUBLIC SAFETY, ALASKA DEPT OF","HOME AWAY FROM HOME, INC",16444 Brooks Loop Eagle River AK 99577-8027,AK-ANCHORAGE,202992,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",HOMER SHORES LLC,4025 Homer Spit Rd Ste 7 Homer AK 99603-8032,AK-KENAI PENINSULA,201152,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","HOMER SPIT PROPERTIES, LLC",237 E Fireweed Ln Ste 200 Anchorage AK 99503-2000,AK-ANCHORAGE,201844,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","HOMER, CITY OF",491 E Pioneer Ave Homer AK 99603-7624,AK-KENAI PENINSULA,20-CRF-083,GRANT,7899085.29,7899085.29,0
"PUBLIC SAFETY, ALASKA DEPT OF","HONG & LEES, INC",720 Gambell St Anchorage AK 99501-3755,AK-ANCHORAGE,202379,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","HOONAH, CITY OF",PO BOX 360 Hoonah AK 99829-0360,AK-HOONAH-ANGOON,20-CRF-084,GRANT,1710493.13,1710493.13,0
"PUBLIC SAFETY, ALASKA DEPT OF",HOOPER BAY,PO BOX 29 Hooper Bay AK 99604-0029,AK-KUSILVAK,20-CRF-085,GRANT,794768.43,794768.43,0
"PUBLIC SAFETY, ALASKA DEPT OF",HOSPICE OF ANCHORAGE,2612 E Northern Lights Blvd Anchorage AK 99508-4119,AK-ANCHORAGE,202837,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","HOUSTON, CITY OF",PO BOX 940027 Houston AK 99694-0027,AK-MATANUSKA-SUSITNA,20-CRF-086,GRANT,1135289.54,1135289.54,0
"PUBLIC SAFETY, ALASKA DEPT OF",HUDDLE AK LLC,721 Depot Dr Anchorage AK 99501-1615,AK-ANCHORAGE,201391,GRANT,99461.93,99461.93,0
"PUBLIC SAFETY, ALASKA DEPT OF","HUGHES, CITY OF",110 Front St Hughes AK 99745-9800,AK-YUKON-KOYUKUK,20-CRF-087,GRANT,108955.16,108955.16,0
"PUBLIC SAFETY, ALASKA DEPT OF",HUSKIEEZ COFFEE & TOYS LLC,PO BOX 289 Kotzebue AK 99752-0289,AK-NORTHWEST ARCTIC,201884,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","HUSLIA, CITY OF",PO BOX 10 Huslia AK 99746-0010,AK-YUKON-KOYUKUK,20-CRF-088,GRANT,176212.5,176212.5,0
"PUBLIC SAFETY, ALASKA DEPT OF","HYDER COMMUNITY ASSOCIATION, INC.",PO BOX 149 Hyder AK 99923-0149,AK-PRINCE OF WALES-HYDER,20-CRF-090,GRANT,75000.00004,47407.55,27592.45
"PUBLIC SAFETY, ALASKA DEPT OF","ICY STRAIT FISHERIES, LLC",PO BOX 22927 Juneau AK 99802-2927,AK-JUNEAU,203394,GRANT,88909.87,88909.87,0
"PUBLIC SAFETY, ALASKA DEPT OF",ILLAMAKI LLC,1233 E 76th Ave Anchorage AK 99518-3222,AK-ANCHORAGE,202233,GRANT,70000.00004,70000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ILLIIVAT INC.,PO BOX 240952 Douglas AK 99824-0952,AK-JUNEAU,202015,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",IMAGINATION LLC,300 E 56th Ave Anchorage AK 99518-1242,AK-ANCHORAGE,,DIRECT,153600,153600,0
"PUBLIC SAFETY, ALASKA DEPT OF","INDEMNIS, INC.",6250 Tuttle Pl Ste 3 Anchorage AK 99507-2094,AK-ANCHORAGE,201297,GRANT,90444.96,90444.96,0
"PUBLIC SAFETY, ALASKA DEPT OF",INFINITE LEGACY INTERPRISES,PO BOX 2395 Homer AK 99603-2395,AK-KENAI PENINSULA,200169,GRANT,77841.48,77841.48,0
"PUBLIC SAFETY, ALASKA DEPT OF",INFINITY JEWELRY ALASKA LLC,306 Mill St Ketchikan AK 99901-6532,AK-KETCHIKAN GATEWAY,203009,GRANT,64928.7,64928.7,0
"PUBLIC SAFETY, ALASKA DEPT OF",INTERIOR COMMUNITY HEALTH CENTER INC,1606 23rd Ave Fairbanks AK 99701-6407,AK-FAIRBANKS NORTH STAR,201834,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",INTRA-SEA INC.,3175 College Rd # 1 Fairbanks AK 99709-3703,AK-FAIRBANKS NORTH STAR,202406,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","INTREPID FISHERIES, INC.",PO BOX 707 Petersburg AK 99833-0707,AK-PETERSBURG,201571,GRANT,70321.9,70321.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",INUA - THE SPIRIT OF ALASKA,PO BOX 4243 Homer AK 99603-4243,AK-KENAI PENINSULA,202830,GRANT,74589.61,74589.61,0
"PUBLIC SAFETY, ALASKA DEPT OF",INVICTUS LLC,PO BOX 749 Girdwood AK 99587-0749,AK-ANCHORAGE,204323,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",IRMIL REUTOV - COMMERCIAL FISHING,PO BOX 1338 Homer AK 99603-1338,AK-KENAI PENINSULA,204289,GRANT,73834.75,73834.75,0
"PUBLIC SAFETY, ALASKA DEPT OF",ISAAC THISTLE,5937 Chuckanut Dr Bow WA 98232-9295,WA-SKAGIT,200464,GRANT,53587.04,53587.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",ISLAND CARE SERVICES LLC,PO BOX Nki Ketchikan AK 99950-0550,AK-KETCHIKAN GATEWAY,202789,GRANT,82669.84,82669.84,0
"PUBLIC SAFETY, ALASKA DEPT OF",IT LLC,1020 W 12th Ave Anchorage AK 99501-4577,AK-ANCHORAGE,201373,GRANT,94627.06,94627.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",IVAN GUMLICKPUK,PO BOX 5051 Koliganek AK 99576-5051,AK-DILLINGHAM,202063,GRANT,61169.17,61169.17,0
"PUBLIC SAFETY, ALASKA DEPT OF",IVER HOLM,PO BOX 8938 Kodiak AK 99615-8938,AK-KODIAK ISLAND,203903,GRANT,72926.48,72926.48,0
"PUBLIC SAFETY, ALASKA DEPT OF",IVO DERANJA F/V HAT TRICK,PO BOX 139 Naknek AK 99633-0139,AK-BRISTOL BAY,200678,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JACOB MCLEAN COMMERCIAL FISHERMAN,2175 Sterling Hwy Homer AK 99603-8301,AK-KENAI PENINSULA,202041,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JACOS INC,23424 SE 240th Pl Maple Valley WA 98038-5279,WA-KING,202441,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JALAPENOS INC,7500 Hiland Rd Eagle River AK 99577-9440,AK-ANCHORAGE,202980,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JAMES A EDGARS COMMERCIAL FISHERMAN,PO BOX 1814 Petersburg AK 99833-1814,AK-PETERSBURG,203617,GRANT,57309.66,57309.66,0
"PUBLIC SAFETY, ALASKA DEPT OF",JAMES ALPIAK,3591 Puffin Cir Kodiak AK 99615-7012,AK-KODIAK ISLAND,201188,GRANT,73488.4,73488.4,0
"PUBLIC SAFETY, ALASKA DEPT OF",JAMES HONKOLA,PO BOX 1813 Cordova AK 99574-1813,AK-VALDEZ CORDOVA,202238,GRANT,74749.36,74749.36,0
"PUBLIC SAFETY, ALASKA DEPT OF",JAMES STEVENS,326 Neva Way Kodiak AK 99615-7057,AK-KODIAK ISLAND,200217,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JAMES VERTIN,3274 N Old Squaw Loop Wasilla AK 99654-2534,AK-MATANUSKA-SUSITNA,203539,GRANT,70878,70878,0
"PUBLIC SAFETY, ALASKA DEPT OF",JASON MILLER,PO BOX 1473 Petersburg AK 99833-1473,AK-PETERSBURG,203180,GRANT,50318.56,50318.56,0
"PUBLIC SAFETY, ALASKA DEPT OF",JB HOMES LLC,3651 Sterling Hwy Homer AK 99603-9271,AK-KENAI PENINSULA,200694,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JEFF W CHAPPELL,PO BOX 1343 Cordova AK 99574-1343,AK-VALDEZ CORDOVA,204279,GRANT,58214.9,58214.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",JEFFREY OLSEN,PO BOX 2362 Cordova AK 99574-2362,AK-VALDEZ CORDOVA,201776,GRANT,63961.9,63961.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",JENNINGS ENTERPRISES INC.,2522 Taft Dr Lummi Island WA 98262-8632,WA-WHATCOM,201299,GRANT,88569.71,88569.71,0
"PUBLIC SAFETY, ALASKA DEPT OF",JIRI BICISTE,2041 Borealis Dr Anchorage AK 99503-1858,AK-ANCHORAGE,202389,GRANT,71450,71450,0
"PUBLIC SAFETY, ALASKA DEPT OF",JO OXENTENKO,PO BOX 671527 Chugiak AK 99567-1527,AK-ANCHORAGE,203541,GRANT,82923.32,82923.32,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOANS PRESCHOOL CENTER,11925 Old Glenn Hwy Ste 202 Eagle River AK 99577-7762,AK-ANCHORAGE,,DIRECT,78390.00004,78390,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOE ALLEN CISNEY,994 Rehberg Rd Greenbank WA 98253-9708,WA-ISLAND,201925,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOEL LUDWIG,4018 226th Pl NE Arlington WA 98223-7690,WA-SNOHOMISH,202814,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOHN BANKS,PO BOX 2462 Cordova AK 99574-2462,AK-VALDEZ CORDOVA,200568,GRANT,77164.87,77164.87,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOHN E JONES SR (F/V ZACHERY J),PO BOX 149 Chignik Lagoon AK 99565-0149,AK-KENAI PENINSULA,200218,GRANT,53909.40005,53909.4,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOHN LOVE,PO BOX 141 Girdwood AK 99587-0141,AK-ANCHORAGE,203161,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","JOHN LUDVICK, JR.",1819 S Shawnee Trl Cottonwood AZ 86326-5083,AZ-YAVAPAI,200709,GRANT,64719.46,64719.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOHN W CLONAN JR CPA PC,35202 Kenai Spur Hwy Ste 3 Soldotna AK 99669-7645,AK-KENAI PENINSULA,200745,GRANT,93589.6,93589.6,0
"PUBLIC SAFETY, ALASKA DEPT OF","JOHN'S HEATING SERVICE, INC.",1311 Mill Bay Rd Kodiak AK 99615-6411,AK-KODIAK ISLAND,202630,GRANT,99800.45,99800.45,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOSTENS ALASKA,2008 Meander Dr Anchorage AK 99516-7300,AK-ANCHORAGE,202277,GRANT,66718,66718,0
"PUBLIC SAFETY, ALASKA DEPT OF",JOYCRAFTS MARINE SAFETY EQUIPMENT LLC,445 Shahafka Cir Kodiak AK 99615-7048,AK-KODIAK ISLAND,201810,GRANT,96272.68,96272.68,0
"PUBLIC SAFETY, ALASKA DEPT OF",JUNEAU ECONOMIC DEVELOPMENT COUNCIL,612 W Willoughby Ave Suite A Juneau AK 99801-1732,AK-JUNEAU,21042JEDC,CONTRACT,104227869.5,104227869.5,-0.02
"PUBLIC SAFETY, ALASKA DEPT OF","JUNEAU, CITY & BOROUGH OF",155 S Seward St Juneau AK 99801-1332,AK-JUNEAU,20-CRF-091,GRANT,53288390.06,53288390.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",JUNG SONG,11624 Frances Elaine Cir Anchorage AK 99515-3396,AK-ANCHORAGE,201872,GRANT,53326,53326,0
"PUBLIC SAFETY, ALASKA DEPT OF",JUSTIN GUMLICKPUK,PO BOX 118 New Stuyahok AK 99636-0118,AK-DILLINGHAM,200790,GRANT,89055.93,89055.93,0
"PUBLIC SAFETY, ALASKA DEPT OF",JUSTIN RYAN,PO BOX 2374 Cordova AK 99574-2374,AK-VALDEZ CORDOVA,200261,GRANT,64232.2,64232.2,0
"PUBLIC SAFETY, ALASKA DEPT OF",K FACTOR LLC,8613 89th Ave NW Gig Harbor WA 98332-6321,WA-PIERCE,202321,GRANT,58144.1,58144.1,0
"PUBLIC SAFETY, ALASKA DEPT OF",K&M MILLER LLC,42115 Kalifornsky Beach Rd Soldotna AK 99669-8312,AK-KENAI PENINSULA,203468,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","K&S HOLDINGS, INC.",PO BOX 413 Talkeetna AK 99676-0413,AK-MATANUSKA-SUSITNA,203455,GRANT,94628.77,94628.77,0
"PUBLIC SAFETY, ALASKA DEPT OF",KABAN BACKLUND,48178 Seward Hwy Moose Pass AK 99631-9705,AK-KENAI PENINSULA,200317,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KABOTH FISHERIES INC,43234 Penttila Ln Astoria OR 97103-8412,OR-CLATSOP,201177,GRANT,97156.27,97156.27,0
"PUBLIC SAFETY, ALASKA DEPT OF","KACHEMAK, CITY OF",59906 Bear Creek Dr Homer AK 99603-9440,AK-KENAI PENINSULA,20-CRF-092,GRANT,241837.37,241615,222.37
"PUBLIC SAFETY, ALASKA DEPT OF",KAEGAN GUDMUNDSON,PO BOX 777 Haines AK 99827-0777,AK-HAINES,203842,GRANT,95827.87,95827.87,0
"PUBLIC SAFETY, ALASKA DEPT OF",KAELA ANN INCORPORATED,18625 SE 304th St Kent WA 98042-9286,WA-KING,201563,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KAHOOTEK INC,251 Limes Rd Lopez Island WA 98261-7202,WA-SAN JUAN,201174,GRANT,63025.69,63025.69,0
"PUBLIC SAFETY, ALASKA DEPT OF","KAKE, CITY OF",PO BOX 500 Kake AK 99830-0500,AK-PRINCE OF WALES-HYDER,20-CRF-093,GRANT,418922.9,418922.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",KALLISTRAT KUZMIN,PO BOX 896 Delta Junction AK 99737-0896,AK-SOUTHEAST FAIRBANKS,201407,GRANT,63409.77,63409.77,0
"PUBLIC SAFETY, ALASKA DEPT OF","KALTAG, CITY OF",PO BOX 9 Kaltag AK 99748-0009,AK-YUKON-KOYUKUK,20-CRF-095,GRANT,130177.14,109006.48,21170.66
"PUBLIC SAFETY, ALASKA DEPT OF",KAMELIEFF ENTERPRIZES LLC,PO BOX 61016 Fairbanks AK 99706-1016,AK-FAIRBANKS NORTH STAR,202429,GRANT,50301.27,50301.27,0
"PUBLIC SAFETY, ALASKA DEPT OF",KAROUSEL KIDZ LEARNING CENTER LLC,1508 E Bogard Rd Ste 9 Wasilla AK 99654-6526,AK-MATANUSKA-SUSITNA,,DIRECT,113098,113098,0
"PUBLIC SAFETY, ALASKA DEPT OF","KASAAN, CITY OF",PO BOX Kxa Ketchikan AK 99950-0340,AK-KETCHIKAN GATEWAY,20-CRF-096,GRANT,101445.85,101445.85,0
"PUBLIC SAFETY, ALASKA DEPT OF",KASHVIK FISHERIES LLC,PO BOX 915 Homer AK 99603-0915,AK-KENAI PENINSULA,200621,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KEITH SWICK,PO BOX 42 Seldovia AK 99663-0042,AK-KENAI PENINSULA,200451,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","KELT, LLC",PO BOX 297 Homer AK 99603-0297,AK-KENAI PENINSULA,201980,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KENAI PENINSULA BOROUGH (INC),144 N Binkley St Soldotna AK 99669-7520,AK-KENAI PENINSULA,20-CRF-099,GRANT,37458449.47,37108668.16,349781.31
"PUBLIC SAFETY, ALASKA DEPT OF",KENAI PENINSULA DRIVING INSTRUCTION LLC,14896 Kenai Spur Hwy Ste 106A Kenai AK 99611-7029,AK-KENAI PENINSULA,201689,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KENAI SUBWAY STORES LLC,PO BOX 210967 Anchorage AK 99521-0967,AK-ANCHORAGE,201360,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","KENAI, CITY OF",210 Fidalgo Ave Kenai AK 99611-7750,AK-KENAI PENINSULA,20-CRF-098,GRANT,7700831.72,7615037.98,85793.74
"PUBLIC SAFETY, ALASKA DEPT OF",KENNICOTT WILDERNESS GUIDES,200 W 34th Ave Anchorage AK 99503-3969,AK-ANCHORAGE,202653,GRANT,88290.04,88290.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",KENNY LAKE COMMUNITY LEAGUE,HC 60 BOX 231 Copper Center AK 99573-9703,AK-VALDEZ CORDOVA,20-CRF-100,GRANT,75000.00004,58533.2,16466.8
"PUBLIC SAFETY, ALASKA DEPT OF",KENNY'S KITCHEN INC.,1118 N Muldoon Rd Ste 125 Anchorage AK 99504-6110,AK-ANCHORAGE,202874,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","KERR MCVEY SHEAFFER & ASSOCIATES, P.C.",PO BOX 92460 Anchorage AK 99509-2460,AK-ANCHORAGE,202999,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KETCHIKAN GATEWAY BOROUGH,1900 First Ave Ste 118 Ketchikan AK 99901-6059,AK-KETCHIKAN GATEWAY,20-CRF-102,GRANT,10400979.23,10400979.23,0
"PUBLIC SAFETY, ALASKA DEPT OF",KETCHIKAN HOSPITALITY LLC,326 Front St Ketchikan AK 99901-6418,AK-KETCHIKAN GATEWAY,202969,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KEVIN BEAM,2309 Halibut Point Rd Spc 8 Sitka AK 99835-9639,AK-SITKA,204318,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KEVIN MEYER,1588 Beverly Dr Apt B Arcata CA 95521-6551,CA-HUMBOLDT,200226,GRANT,59380.4,59380.4,0
"PUBLIC SAFETY, ALASKA DEPT OF",KIDS CORPS INC,101 Davis St Anchorage AK 99508-2431,AK-ANCHORAGE,,DIRECT,69200.00004,69200,0
"PUBLIC SAFETY, ALASKA DEPT OF",KIM S. RICE (SNOWLINE SALMON),PO BOX 331 Girdwood AK 99587-0331,AK-ANCHORAGE,201317,GRANT,64991.56,64991.56,0
"PUBLIC SAFETY, ALASKA DEPT OF",KING COVE CITY,PO BOX 37 King Cove AK 99612-0037,,20-CRF-104,GRANT,1945987.32,1945987.32,0
"PUBLIC SAFETY, ALASKA DEPT OF",KING EIDER FISHERIES LLC,PO BOX 446 Naknek AK 99633-0446,AK-BRISTOL BAY,203995,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KING STREET BREWING LLC,9050 King St Anchorage AK 99515-1924,AK-ANCHORAGE,201462,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KIP CARROLL,PO BOX 1173 Cordova AK 99574-1173,AK-VALDEZ CORDOVA,202032,GRANT,83163.83,83163.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",KISMR ENTERPRISES LLC,1323 L St Anchorage AK 99501-4266,AK-ANCHORAGE,202448,GRANT,66402.65,66402.65,0
"PUBLIC SAFETY, ALASKA DEPT OF","KIVALINA, CITY OF",PO BOX 50079 Kivalina AK 99750-0079,AK-NORTHWEST ARCTIC,20-CRF-106,GRANT,250388.68,250388.68,0
"PUBLIC SAFETY, ALASKA DEPT OF",KK HOMETOWN RESTAURANT,3020 Minnesota Dr Ste 17 Anchorage AK 99503-3674,AK-ANCHORAGE,201685,GRANT,69807.58,69807.58,0
"PUBLIC SAFETY, ALASKA DEPT OF",KLAWOCK LAKE COMMUNITY ASSOCIATION,PO BOX 488 Klawock AK 99925-0488,AK-PRINCE OF WALES-HYDER,20-CRF-108,GRANT,75000.00004,75000,0
"PUBLIC SAFETY, ALASKA DEPT OF","KLAWOCK, CITY OF",PO BOX 469 Klawock AK 99925-0469,AK-PRINCE OF WALES-HYDER,20-CRF-107,GRANT,913364.72,913364.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",KLONDIKE KIDS LLC,390 S Santa Claus Ln North Pole AK 99705-7705,AK-FAIRBANKS NORTH STAR,,DIRECT,120129,120129,0
"PUBLIC SAFETY, ALASKA DEPT OF",KLONDIKE KIDS LLC,390 S Santa Claus Ln North Pole AK 99705-7705,AK-FAIRBANKS NORTH STAR,203414,GRANT,79233,79233,0
"PUBLIC SAFETY, ALASKA DEPT OF","KNIK HEATING, LLC",7362 W Parks Hwy Wasilla AK 99623-9300,AK-MATANUSKA-SUSITNA,202104,GRANT,98539.43,98539.43,0
"PUBLIC SAFETY, ALASKA DEPT OF","KO ALASKA, LLC",PO BOX 10705 Fairbanks AK 99710-0705,AK-FAIRBANKS NORTH STAR,202898,GRANT,54932.95,54932.95,0
"PUBLIC SAFETY, ALASKA DEPT OF",KOBUK STORAGE LLC,PO BOX 874426 Wasilla AK 99687-4426,AK-MATANUSKA-SUSITNA,202438,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","KOBUK, CITY OF",PO BOX 51020 Kobuk AK 99751-0020,AK-NORTHWEST ARCTIC,20-CRF-110,GRANT,128755.84,128755.84,0
"PUBLIC SAFETY, ALASKA DEPT OF",KODIAK ISLAND BOROUGH,710 Mill Bay Rd Kodiak AK 99615-6340,AK-KODIAK ISLAND,20-CRF-112,GRANT,5792500.9,5792500.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",KOREAN OPEN DOOR PRESBYTERIAN CHURCH,8220 Briarwood St Anchorage AK 99518-3328,AK-ANCHORAGE,,DIRECT,166802,166802,0
"PUBLIC SAFETY, ALASKA DEPT OF","KOTLIK, CITY OF",PO BOX 20268 Kotlik AK 99620-0268,AK-KUSILVAK,20-CRF-115,GRANT,403541.46,403541.46,0
